Fecha,Producto,Unidad de Medida,Precio Mínimo,Precio Máximo
2022-01-01,Aceite Mixto,1Kg,0.00,0.00
2022-01-01,Arroz largo,1Kg,0.00,0.00
2022-01-01,Azúcar Estándar,1Kg,0.00,0.00
2022-01-01,Harina de Trigo,1Kg,0.00,0.00
2022-01-01,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-01,Frijol Negro,1Kg,0.00,0.00
2022-01-01,Huevo Blanco,1Kg,0.00,0.00
2022-01-01,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-01,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-01,Aguacate Hass,1Kg,0.00,0.00
2022-01-01,Limón con semilla,1Kg,0.00,0.00
2022-01-01,Guayaba,1Kg,0.00,0.00
2022-01-01,Manzana Golden,1Kg,0.00,0.00
2022-01-01,Manzana Starking,1Kg,0.00,0.00
2022-01-01,Naranja mediana,1Kg,0.00,0.00
2022-01-01,Papaya maradol,1Kg,0.00,0.00
2022-01-01,Piña,1Kg,0.00,0.00
2022-01-01,Plátano,1Kg,0.00,0.00
2022-01-01,Sandía,1Kg,0.00,0.00
2022-01-01,Calabacita Italiana,1Kg,0.00,0.00
2022-01-01,Chile poblano,1Kg,0.00,0.00
2022-01-01,Chile serrano,1Kg,0.00,0.00
2022-01-01,Cebolla bola,1Kg,0.00,0.00
2022-01-01,Chayote sin espina,1Kg,0.00,0.00
2022-01-01,Jitomate Saladette,1Kg,0.00,0.00
2022-01-01,Lechuga romana,1Kg,0.00,0.00
2022-01-01,Papa alpha,1Kg,0.00,0.00
2022-01-01,Pepino,1Kg,0.00,0.00
2022-01-01,Tomate verde,1Kg,0.00,0.00
2022-01-01,Zanahoria mediana,1Kg,0.00,0.00
2022-01-02,Aceite Mixto,1Kg,0.00,0.00
2022-01-02,Arroz largo,1Kg,0.00,0.00
2022-01-02,Azúcar Estándar,1Kg,0.00,0.00
2022-01-02,Harina de Trigo,1Kg,0.00,0.00
2022-01-02,Frijol Flor de Mayo,1Kg,0.00,0.00
2022-01-02,Frijol Negro,1Kg,0.00,0.00
2022-01-02,Huevo Blanco,1Kg,0.00,0.00
2022-01-02,Carne Molida
Sirloin 90-10,1Kg,0.00,0.00
2022-01-02,Bistec Diezmillo de
Res,1Kg,0.00,0.00
2022-01-02,Aguacate Hass,1Kg,0.00,0.00
2022-01-02,Limón con semilla,1Kg,0.00,0.00
2022-01-02,Guayaba,1Kg,0.00,0.00
2022-01-02,Manzana Golden,1Kg,0.00,0.00
2022-01-02,Manzana Starking,1Kg,0.00,0.00
2022-01-02,Naranja mediana,1Kg,0.00,0.00
2022-01-02,Papaya maradol,1Kg,0.00,0.00
2022-01-02,Piña,1Kg,0.00,0.00
2022-01-02,Plátano,1Kg,0.00,0.00
2022-01-02,Sandía,1Kg,0.00,0.00
2022-01-02,Calabacita Italiana,1Kg,0.00,0.00
2022-01-02,Chile poblano,1Kg,0.00,0.00
2022-01-02,Chile serrano,1Kg,0.00,0.00
2022-01-02,Cebolla bola,1Kg,0.00,0.00
2022-01-02,Chayote sin espina,1Kg,0.00,0.00
2022-01-02,Jitomate Saladette,1Kg,0.00,0.00
2022-01-02,Lechuga romana,1Kg,0.00,0.00
2022-01-02,Papa alpha,1Kg,0.00,0.00
2022-01-02,Pepino,1Kg,0.00,0.00
2022-01-02,Tomate verde,1Kg,0.00,0.00
2022-01-02,Zanahoria mediana,1Kg,0.00,0.00
2022-01-03,Aceite Mixto,1Kg,30.00,40.00
2022-01-03,Arroz largo,1Kg,16.00,26.00
2022-01-03,Azúcar Estándar,1Kg,35.00,40.00
2022-01-03,Harina de Trigo,1Kg,12.00,16.00
2022-01-03,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-03,Frijol Negro,1Kg,23.00,26.00
2022-01-03,Huevo Blanco,1Kg,33.00,35.00
2022-01-03,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-03,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-03,Aguacate Hass,1Kg,45.00,75.00
2022-01-03,Limón con semilla,1Kg,20.00,30.00
2022-01-03,Guayaba,1Kg,10.00,20.00
2022-01-03,Manzana Golden,1Kg,40.00,50.00
2022-01-03,Manzana Starking,1Kg,40.00,45.00
2022-01-03,Naranja mediana,1Kg,6.00,10.00
2022-01-03,Papaya maradol,1Kg,16.00,18.00
2022-01-03,Piña,1Kg,15.00,20.00
2022-01-03,Plátano,1Kg,10.00,15.00
2022-01-03,Sandía,1Kg,5.00,10.00
2022-01-03,Calabacita Italiana,1Kg,12.00,20.00
2022-01-03,Chile poblano,1Kg,36.00,40.00
2022-01-03,Chile serrano,1Kg,7.00,25.00
2022-01-03,Cebolla bola,1Kg,35.00,45.00
2022-01-03,Chayote sin espina,1Kg,20.00,25.00
2022-01-03,Jitomate Saladette,1Kg,12.00,18.00
2022-01-03,Lechuga romana,1Kg,10.00,17.00
2022-01-03,Papa alpha,1Kg,13.00,20.00
2022-01-03,Pepino,1Kg,10.00,18.00
2022-01-03,Tomate verde,1Kg,30.00,38.00
2022-01-03,Zanahoria mediana,1Kg,10.00,12.00
2022-01-04,Aceite Mixto,1Kg,30.00,40.00
2022-01-04,Arroz largo,1Kg,16.00,26.00
2022-01-04,Azúcar Estándar,1Kg,35.00,40.00
2022-01-04,Harina de Trigo,1Kg,12.00,16.00
2022-01-04,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-04,Frijol Negro,1Kg,23.00,26.00
2022-01-04,Huevo Blanco,1Kg,33.00,35.00
2022-01-04,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-04,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-04,Aguacate Hass,1Kg,45.00,75.00
2022-01-04,Limón con semilla,1Kg,20.00,30.00
2022-01-04,Guayaba,1Kg,10.00,20.00
2022-01-04,Manzana Golden,1Kg,40.00,50.00
2022-01-04,Manzana Starking,1Kg,40.00,45.00
2022-01-04,Naranja mediana,1Kg,6.00,10.00
2022-01-04,Papaya maradol,1Kg,16.00,18.00
2022-01-04,Piña,1Kg,15.00,20.00
2022-01-04,Plátano,1Kg,10.00,15.00
2022-01-04,Sandía,1Kg,5.00,10.00
2022-01-04,Calabacita Italiana,1Kg,12.00,20.00
2022-01-04,Chile poblano,1Kg,36.00,40.00
2022-01-04,Chile serrano,1Kg,7.00,25.00
2022-01-04,Cebolla bola,1Kg,35.00,45.00
2022-01-04,Chayote sin espina,1Kg,20.00,25.00
2022-01-04,Jitomate Saladette,1Kg,12.00,18.00
2022-01-04,Lechuga romana,1Kg,10.00,17.00
2022-01-04,Papa alpha,1Kg,13.00,20.00
2022-01-04,Pepino,1Kg,10.00,18.00
2022-01-04,Tomate verde,1Kg,30.00,38.00
2022-01-04,Zanahoria mediana,1Kg,10.00,12.00
2022-01-05,Aceite Mixto,1Kg,30.00,40.00
2022-01-05,Arroz largo,1Kg,16.00,26.00
2022-01-05,Azúcar Estándar,1Kg,35.00,40.00
2022-01-05,Harina de Trigo,1Kg,12.00,16.00
2022-01-05,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-05,Frijol Negro,1Kg,23.00,26.00
2022-01-05,Huevo Blanco,1Kg,33.00,35.00
2022-01-05,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-05,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-05,Aguacate Hass,1Kg,45.00,75.00
2022-01-05,Limón con semilla,1Kg,20.00,30.00
2022-01-05,Guayaba,1Kg,10.00,20.00
2022-01-05,Manzana Golden,1Kg,40.00,50.00
2022-01-05,Manzana Starking,1Kg,40.00,45.00
2022-01-05,Naranja mediana,1Kg,6.00,10.00
2022-01-05,Papaya maradol,1Kg,16.00,18.00
2022-01-05,Piña,1Kg,15.00,20.00
2022-01-05,Plátano,1Kg,10.00,15.00
2022-01-05,Sandía,1Kg,5.00,10.00
2022-01-05,Calabacita Italiana,1Kg,12.00,20.00
2022-01-05,Chile poblano,1Kg,36.00,40.00
2022-01-05,Chile serrano,1Kg,7.00,25.00
2022-01-05,Cebolla bola,1Kg,35.00,45.00
2022-01-05,Chayote sin espina,1Kg,20.00,25.00
2022-01-05,Jitomate Saladette,1Kg,12.00,18.00
2022-01-05,Lechuga romana,1Kg,10.00,17.00
2022-01-05,Papa alpha,1Kg,13.00,20.00
2022-01-05,Pepino,1Kg,10.00,18.00
2022-01-05,Tomate verde,1Kg,30.00,38.00
2022-01-05,Zanahoria mediana,1Kg,10.00,12.00
2022-01-06,Aceite Mixto,1Kg,30.00,40.00
2022-01-06,Arroz largo,1Kg,16.00,26.00
2022-01-06,Azúcar Estándar,1Kg,35.00,40.00
2022-01-06,Harina de Trigo,1Kg,12.00,16.00
2022-01-06,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-06,Frijol Negro,1Kg,23.00,26.00
2022-01-06,Huevo Blanco,1Kg,33.00,35.00
2022-01-06,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-06,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-06,Aguacate Hass,1Kg,45.00,75.00
2022-01-06,Limón con semilla,1Kg,20.00,30.00
2022-01-06,Guayaba,1Kg,10.00,20.00
2022-01-06,Manzana Golden,1Kg,40.00,50.00
2022-01-06,Manzana Starking,1Kg,40.00,45.00
2022-01-06,Naranja mediana,1Kg,6.00,10.00
2022-01-06,Papaya maradol,1Kg,16.00,18.00
2022-01-06,Piña,1Kg,15.00,20.00
2022-01-06,Plátano,1Kg,10.00,15.00
2022-01-06,Sandía,1Kg,5.00,10.00
2022-01-06,Calabacita Italiana,1Kg,12.00,20.00
2022-01-06,Chile poblano,1Kg,36.00,40.00
2022-01-06,Chile serrano,1Kg,7.00,25.00
2022-01-06,Cebolla bola,1Kg,35.00,45.00
2022-01-06,Chayote sin espina,1Kg,20.00,25.00
2022-01-06,Jitomate Saladette,1Kg,12.00,18.00
2022-01-06,Lechuga romana,1Kg,10.00,17.00
2022-01-06,Papa alpha,1Kg,13.00,20.00
2022-01-06,Pepino,1Kg,10.00,18.00
2022-01-06,Tomate verde,1Kg,30.00,38.00
2022-01-06,Zanahoria mediana,1Kg,10.00,12.00
2022-01-07,Aceite Mixto,1Kg,30.00,40.00
2022-01-07,Arroz largo,1Kg,16.00,26.00
2022-01-07,Azúcar Estándar,1Kg,35.00,40.00
2022-01-07,Harina de Trigo,1Kg,12.00,16.00
2022-01-07,Frijol Flor de Mayo,1Kg,30.00,35.00
2022-01-07,Frijol Negro,1Kg,23.00,26.00
2022-01-07,Huevo Blanco,1Kg,33.00,35.00
2022-01-07,Carne Molida
Sirloin 90-10,1Kg,130.00,148.00
2022-01-07,Bistec Diezmillo de
Res,1Kg,130.00,150.00
2022-01-07,Aguacate Hass,1Kg,45.00,75.00
2022-01-07,Limón con semilla,1Kg,20.00,30.00
2022-01-07,Guayaba,1Kg,10.00,20.00
2022-01-07,Manzana Golden,1Kg,40.00,50.00
2022-01-07,Manzana Starking,1Kg,40.00,45.00
2022-01-07,Naranja mediana,1Kg,6.00,10.00
2022-01-07,Papaya maradol,1Kg,16.00,18.00
2022-01-07,Piña,1Kg,15.00,20.00
2022-01-07,Plátano,1Kg,10.00,15.00
2022-01-07,Sandía,1Kg,5.00,10.00
2022-01-07,Calabacita Italiana,1Kg,12.00,20.00
