root
 |-- Receta: string (nullable = true)
 |-- Personas: integer (nullable = true)
 |-- Ingrediente: string (nullable = true)
 |-- monto: decimal(10,2) (nullable = true)
 |-- Unidad: string (nullable = true)

+--------------------+--------+--------------------+------+------------+
|              Receta|Personas|         Ingrediente| monto|      Unidad|
+--------------------+--------+--------------------+------+------------+
|Setas a la mexica...|       4|               Setas|300.00|      gramos|
|Setas a la mexica...|       4|             Nopales|300.00|      gramos|
|Setas a la mexica...|       4|                 Ajo|  1.00|      diente|
|Setas a la mexica...|       4|           Jitomates|  3.00|      piezas|
|Setas a la mexica...|       4|             Cebolla|  1.00|       pieza|
|Setas a la mexica...|       4|       Chile serrano|  1.00|       pieza|
|Setas a la mexica...|       4|            Cilantro|  5.00|       ramas|
|Setas a la mexica...|       4|         Mantequilla|  2.00|  cucharadas|
|Setas a la mexica...|       4|                 Sal|  1.00|       gusto|
|Pasta al Chile Gu...|       6|    Chiles guajillos|  3.00|      piezas|
|Pasta al Chile Gu...|       6|     Aceite de oliva|  5.00|  cucharadas|
|Pasta al Chile Gu...|       6|                 Ajo|  3.00|     dientes|
|Pasta al Chile Gu...|       6|             Perejil|  2.00|  cucharadas|
|Pasta al Chile Gu...|       6|Queso parmesano o...|  0.50|        taza|
|Champiñones rell...|       6|                 Ajo|  2.00|     dientes|
|Champiñones rell...|       6|             Cebolla|  0.25|       pieza|
|Champiñones rell...|       6|               Crema|  2.00|  cucharadas|
|Champiñones rell...|       6|     Queso parmesano| 50.00|      gramos|
|Champiñones rell...|       6|                 Sal|  1.00|       gusto|
|Champiñones rell...|       6|Pimienta negra mo...|  1.00|       gusto|
|Champiñones rell...|       6|         Mantequilla|  1.00|   cucharada|
|Champiñones rell...|       6|            Espinaca|  1.00|      manojo|
|Champiñones rell...|       6|            Jitomate|  1.00|       pieza|
|Champiñones rell...|       6|    Nueces en trozos|  1.00|       gusto|
|Pastes de Papa co...|       8|Pimienta negra mo...|  1.00|       gusto|
|Pastes de Papa co...|       8|               Leche|  1.00|        taza|
|Pastes de Papa co...|       8|  Polvo para hornear|  3.00|cucharaditas|
|Pastes de Papa co...|       8|               Huevo|  1.00|       pieza|
|Pastes de Papa co...|       8|       Chile serrano|  3.00|      piezas|
|Pastes de Papa co...|       8|                 Sal|  1.00|       gusto|
|Pastes de Papa co...|       8|     Harina de trigo|  4.00|       tazas|
|Pastes de Papa co...|       8|                 Sal|  1.00| cucharadita|
|Pastes de Papa co...|       8|        Carne molida|  0.50|        kilo|
|Pastes de Papa co...|       8|     Manteca vegetal|  0.50|        taza|
|Pastes de Papa co...|       8|                Poro|  0.50|       pieza|
|Pastes de Papa co...|       8|         Papa blanca|  2.00|      piezas|
|Chicharrón en Sa...|       4|           Jitomates|  9.00|      piezas|
|Chicharrón en Sa...|       4|                 Ajo|  2.00|     dientes|
|Chicharrón en Sa...|       4|      Caldo de pollo|  0.50|        cubo|
|Pimientos Relleno...|       4|                 Sal|  1.00|   cucharada|
|Pimientos Relleno...|       4|           Pimientos|  4.00|      piezas|
|Pimientos Relleno...|       4|     Aceite de oliva|  1.00|   cucharada|
|Pimientos Relleno...|       4|             Cebolla|  1.00|       pieza|
|Pimientos Relleno...|       4|        Arroz cocido|  2.00|       tazas|
|Pimientos Relleno...|       4|     Frijoles negros|400.00|      gramos|
|Pimientos Relleno...|       4|           Jitomates|400.00|      gramos|
|Pimientos Relleno...|       4|      Chile en polvo|  1.00| cucharadita|
|Pimientos Relleno...|       4|          Sal de ajo|  1.00| cucharadita|
|Pimientos Relleno...|       4|       Comino molido|  0.50| cucharadita|
|Pimientos Relleno...|       4|                 Sal|  0.50| cucharadita|
|Pimientos Relleno...|       4|Queso cotija rallado|225.00|      gramos|
|Asado de Puerco. ...|       6|      Chile Guajillo|  6.00|      piezas|
|Asado de Puerco. ...|       6|                 Ajo|  3.00|     dientes|
